"","id","X","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation","age"
"27",25,788,"Charles Edouard","Guillaume","CH","FR","male",1920,"physics","""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",59
"28",26,282,"Albert","Einstein","DE","US","male",1921,"physics","""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",42
"29",27,281,"Niels Henrik David","Bohr","DK","DK","male",1922,"physics","""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",37
"30",28,310,"Robert Andrews","Millikan","US","US","male",1923,"physics","""for his work on the elementary charge of electricity and on the photoelectric effect""",55
"31",29,154,"Karl Manne Georg","Siegbahn","SE","SE","male",1924,"physics","""for his discoveries and research in the field of X-ray spectroscopy""",38
"32",30,644,"James","Franck","DE","DE","male",1925,"physics","""for their discovery of the laws governing the impact of an electron upon an atom""",43
"33",31,645,"Gustav Ludwig","Hertz","DE","DE","male",1925,"physics","""for their discovery of the laws governing the impact of an electron upon an atom""",38
"34",32,309,"Jean Baptiste","Perrin","FR","US","male",1926,"physics","""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",56
"35",33,188,"Arthur Holly","Compton","US","US","male",1927,"physics","""for his discovery of the effect named after him""",35
"36",34,247,"Charles Thomson Rees","Wilson","GB","GB","male",1927,"physics","""for his method of making the paths of electrically charged particles visible by condensation of vapour""",58
"37",35,318,"Owen Willans","Richardson","GB","GB","male",1928,"physics","""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",49
"38",36,203,"Prince Louis-Victor Pierre Raymond","de Broglie","FR","FR","male",1929,"physics","""for his discovery of the wave nature of electrons""",37
"39",37,315,"Sir Chandrasekhara Venkata","Raman","IN","IN","male",1930,"physics","""for his work on the scattering of light and for the discovery of the effect named after him""",42
"40",38,354,"Werner Karl","Heisenberg","DE","DE","male",1932,"physics","""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",31
"41",39,402,"Erwin","Schr_dinger","AT","AT","male",1933,"physics","""for the discovery of new productive forms of atomic theory""",46
"42",40,403,"Paul Adrien Maurice","Dirac","GB","US","male",1933,"physics","""for the discovery of new productive forms of atomic theory""",31
"43",41,420,"James","Chadwick","GB","GB","male",1935,"physics","""for the discovery of the neutron""",44
"44",42,173,"Victor Franz","Hess","AT","US","male",1936,"physics","""for his discovery of cosmic radiation""",53
"45",43,199,"Carl David","Anderson","US","US","male",1936,"physics","""for his discovery of the positron""",31
"46",44,669,"Clinton Joseph","Davisson","US","US","male",1937,"physics","""for their experimental discovery of the diffraction of electrons by crystals""",56
"47",45,668,"George Paget","Thomson","GB","GB","male",1937,"physics","""for their experimental discovery of the diffraction of electrons by crystals""",45
"48",46,141,"Enrico","Fermi","IT","US","male",1938,"physics","""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",37
"49",47,443,"Ernest Orlando","Lawrence","US","US","male",1939,"physics","""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",38
"50",48,121,"Otto","Stern","PL","US","male",1943,"physics","""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",55
"51",49,279,"Isidor Isaac","Rabi","PL","US","male",1944,"physics","""for his resonance method for recording the magnetic properties of atomic nuclei""",46
"52",50,418,"Wolfgang","Pauli","AT","CH","male",1945,"physics","""for the discovery of the Exclusion Principle, also called the Pauli Principle""",45
"53",51,444,"Percy Williams","Bridgman","US","US","male",1946,"physics","""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",64
"54",52,235,"Sir Edward Victor","Appleton","GB","GB","male",1947,"physics","""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",55
"55",53,150,"Patrick Maynard Stuart","Blackett","GB","GB","male",1948,"physics","""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",51
"56",54,267,"Hideki","Yukawa","JP","JP","male",1949,"physics","""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",42
"57",55,148,"Cecil Frank","Powell","GB","IT","male",1950,"physics","""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",47
"58",56,697,"Sir John Douglas","Cockcroft","GB","GB","male",1951,"physics","""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",54
"59",57,696,"Ernest Thomas Sinton","Walton","IE","GB","male",1951,"physics","""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",48
"60",58,500,"Felix","Bloch","CH","CH","male",1952,"physics","""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",47
"61",59,499,"Edward Mills","Purcell","US","US","male",1952,"physics","""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",40
"62",60,140,"Frits","Zernike","NL","NL","male",1953,"physics","""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",65
"63",61,216,"Max","Born","PL","DE","male",1954,"physics","""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",71
"64",62,352,"Walther","Bothe","DE","DE","male",1954,"physics","""for the coincidence method and his discoveries made therewith""",63
"65",63,157,"Willis Eugene","Lamb","US","US","male",1955,"physics","""for his discoveries concerning the fine structure of the hydrogen spectrum""",42
"66",64,266,"Polykarp","Kusch","DE","US","male",1955,"physics","""for his precision determination of the magnetic moment of the electron""",44
"67",65,723,"William Bradford","Shockley","GB","US","male",1956,"physics","""for their researches on semiconductors and their discovery of the transistor effect""",46
"68",66,689,"John","Bardeen","US","US","male",1972,"physics","""for their jointly developed theory of superconductivity, usually called the BCS-theory""",64
"69",66,689,"John","Bardeen","US","US","male",1972,"physics","""for their jointly developed theory of superconductivity, usually called the BCS-theory""",48
"70",66,725,"John","Bardeen","US","US","male",1956,"physics","""for their researches on semiconductors and their discovery of the transistor effect""",64
"71",66,725,"John","Bardeen","US","US","male",1956,"physics","""for their researches on semiconductors and their discovery of the transistor effect""",48
"72",67,724,"Walter Houser","Brattain","CN","US","male",1956,"physics","""for their researches on semiconductors and their discovery of the transistor effect""",54
"73",68,695,"Chen Ning","Yang","CN","","male",1957,"physics","""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",35
"74",69,694,"Tsung-Dao (T.D.)","Lee","CN","","male",1957,"physics","""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",31
"75",70,387,"Pavel Alekseyevich","Cherenkov","RU","RU","male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""",54
"76",71,389,"Igor Yevgenyevich","Tamm","RU","RU","male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""",63
"77",72,635,"Emilio Gino","Segrè","IT","US","male",1959,"physics","""for their discovery of the antiproton""",54
"78",73,636,"Owen","Chamberlain","US","US","male",1959,"physics","""for their discovery of the antiproton""",39
"79",74,450,"Donald Arthur","Glaser","US","US","male",1960,"physics","""for the invention of the bubble chamber""",34
"80",75,261,"Robert","Hofstadter","US","US","male",1961,"physics","""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",46
"81",76,275,"Rudolf Ludwig","M_ssbauer","DE","","male",1961,"physics","""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",32
"82",77,262,"Lev Davidovich","Landau","AZ","RU","male",1962,"physics","""for his pioneering theories for condensed matter, especially liquid helium""",54
"83",78,134,"Eugene Paul","Wigner","HU","US","male",1963,"physics","""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",61
"84",79,19,"Maria","Goeppert Mayer","PL","US","female",1963,"physics","""for their discoveries concerning nuclear shell structure""",57
"85",80,531,"J. Hans D.","Jensen","DE","DE","male",1963,"physics","""for their discoveries concerning nuclear shell structure""",56
"86",81,79,"Charles Hard","Townes","US","US","male",1964,"physics","""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",49
"87",82,81,"Nicolay Gennadiyevich","Basov","RU","RU","male",1964,"physics","""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",41
"88",83,80,"Aleksandr Mikhailovich","Prokhorov","AU","RU","male",1964,"physics","""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",48
"89",84,677,"Sin-Itiro","Tomonaga","JP","JP","male",1965,"physics","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",59
"90",85,675,"Julian","Schwinger","US","US","male",1965,"physics","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",47
"91",86,676,"Richard P.","Feynman","US","US","male",1965,"physics","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",47
"92",87,383,"Alfred","Kastler","FR","FR","male",1966,"physics","""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",64
"93",88,133,"Hans Albrecht","Bethe","FR","US","male",1967,"physics","""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",61
"94",89,137,"Luis Walter","Alvarez","US","US","male",1968,"physics","""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",57
"95",90,124,"Murray","Gell-Mann","US","","male",1969,"physics","""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",40
"96",91,78,"Hannes Olof G_sta","Alfv_n","SE","SE","male",1970,"physics","""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",62
"97",92,77,"Louis Eugène F_lix","N_el","FR","FR","male",1970,"physics","""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",66
"98",93,227,"Dennis","Gabor","HU","GB","male",1971,"physics","""for his invention and development of the holographic method""",71
"99",95,688,"Leon Neil","Cooper","US","","male",1972,"physics","""for their jointly developed theory of superconductivity, usually called the BCS-theory""",42
"100",96,687,"John Robert","Schrieffer","US","","male",1972,"physics","""for their jointly developed theory of superconductivity, usually called the BCS-theory""",41
"101",97,667,"Leo","Esaki","JP","","male",1973,"physics","""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",48
"102",98,666,"Ivar","Giaever","NO","","male",1973,"physics","""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",44
"103",99,288,"Brian David","Josephson","GB","","male",1973,"physics","""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",33
"104",100,706,"Sir Martin","Ryle","GB","GB","male",1974,"physics","""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",56
"105",101,707,"Antony","Hewish","GB","","male",1974,"physics","""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",50
"106",102,415,"Aage Niels","Bohr","DK","DK","male",1975,"physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",53
"107",103,416,"Ben Roy","Mottelson","US","","male",1975,"physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",49
"108",104,417,"Leo James","Rainwater","US","US","male",1975,"physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",58
"109",105,711,"Burton","Richter","US","","male",1976,"physics","""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",45
"110",106,710,"Samuel Chao Chung","Ting","US","","male",1976,"physics","""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",40
"111",107,674,"Philip Warren","Anderson","US","","male",1977,"physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",53
"112",108,672,"Sir Nevill Francis","Mott","GB","GB","male",1977,"physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",72
"113",109,673,"John Hasbrouck","van Vleck","US","US","male",1977,"physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",78
"114",110,113,"Pyotr Leonidovich","Kapitsa","RU","RU","male",1978,"physics","""for his basic inventions and discoveries in the area of low-temperature physics""",84
"115",111,619,"Arno Allan","Penzias","DE","","male",1978,"physics","""for their discovery of cosmic microwave background radiation""",45
"116",112,620,"Robert Woodrow","Wilson","US","","male",1978,"physics","""for their discovery of cosmic microwave background radiation""",42
"117",113,489,"Sheldon Lee","Glashow","US","","male",1979,"physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",47
"118",114,491,"Abdus","Salam","PK","GB","male",1979,"physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",53
"119",115,490,"Steven","Weinberg","US","","male",1979,"physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",46
"120",116,432,"James Watson","Cronin","US","US","male",1980,"physics","""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",49
"121",117,433,"Val Logsdon","Fitch","US","US","male",1980,"physics","""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",57
"122",118,472,"Nicolaas","Bloembergen","NL","","male",1981,"physics","""for their contribution to the development of laser spectroscopy""",61
"123",119,473,"Arthur Leonard","Schawlow","US","US","male",1981,"physics","""for their contribution to the development of laser spectroscopy""",60
"124",120,120,"Kai M.","Siegbahn","SE","SE","male",1981,"physics","""for his contribution to the development of high-resolution electron spectroscopy""",63
"125",121,290,"Kenneth G.","Wilson","US","US","male",1982,"physics","""for his theory for critical phenomena in connection with phase transitions""",46
"126",122,289,"Subramanyan","Chandrasekhar","PK","US","male",1983,"physics","""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",73
"127",123,287,"William Alfred","Fowler","US","US","male",1983,"physics","""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",72
"128",124,492,"Carlo","Rubbia","IT","CH","male",1984,"physics","""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",50
"129",125,493,"Simon","van der Meer","NL","CH","male",1984,"physics","""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",59
"130",126,424,"Klaus","von Klitzing","PL","","male",1985,"physics","""for the discovery of the quantized Hall effect""",42
"131",127,219,"Ernst","Ruska","DE","DE","male",1986,"physics","""for his fundamental work in electron optics, and for the design of the first electron microscope""",79
"132",128,495,"Gerd","Binnig","DE","","male",1986,"physics","""for their design of the scanning tunneling microscope""",39
"133",129,494,"Heinrich","Rohrer","CH","CH","male",1986,"physics","""for their design of the scanning tunneling microscope""",53
"134",130,678,"J. Georg","Bednorz","DE","","male",1987,"physics","""for their important break-through in the discovery of superconductivity in ceramic materials""",37
"135",131,679,"K. Alexander","MÙller","CH","","male",1987,"physics","""for their important break-through in the discovery of superconductivity in ceramic materials""",60
"136",132,452,"Leon M.","Lederman","US","","male",1988,"physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",66
"137",133,454,"Melvin","Schwartz","US","US","male",1988,"physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",56
"138",134,453,"Jack","Steinberger","DE","","male",1988,"physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",67
"139",135,451,"Norman F.","Ramsey","US","US","male",1989,"physics","""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",74
"140",136,375,"Hans G.","Dehmelt","DE","","male",1989,"physics","""for the development of the ion trap technique""",67
"141",137,374,"Wolfgang","Paul","DE","DE","male",1989,"physics","""for the development of the ion trap technique""",76
"142",138,703,"Jerome I.","Friedman","US","","male",1990,"physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",60
"143",139,704,"Henry W.","Kendall","US","US","male",1990,"physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",64
"144",140,705,"Richard E.","Taylor","CA","","male",1990,"physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",61
"145",141,72,"Pierre-Gilles","de Gennes","FR","FR","male",1991,"physics","""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",59
"146",142,226,"Georges","Charpak","PL","FR","male",1992,"physics","""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",68
"147",143,391,"Russell A.","Hulse","US","","male",1993,"physics","""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",43
"148",144,390,"Joseph H.","Taylor Jr.","US","","male",1993,"physics","""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",52
"149",145,369,"Bertram N.","Brockhouse","CA","CA","male",1994,"physics","""for the development of neutron spectroscopy""",76
"150",146,379,"Clifford G.","Shull","US","US","male",1994,"physics","""for the development of the neutron diffraction technique""",79
"151",147,428,"Martin L.","Perl","US","US","male",1995,"physics","""for the discovery of the tau lepton""",68
"152",148,359,"Frederick","Reines","US","US","male",1995,"physics","""for the detection of the neutrino""",77
"153",149,629,"David M.","Lee","US","","male",1996,"physics","""for their discovery of superfluidity in helium-3""",65
"154",150,631,"Douglas D.","Osheroff","US","","male",1996,"physics","""for their discovery of superfluidity in helium-3""",51
"155",151,630,"Robert C.","Richardson","US","US","male",1996,"physics","""for their discovery of superfluidity in helium-3""",59
"156",152,71,"Steven","Chu","US","","male",1997,"physics","""for development of methods to cool and trap atoms with laser light""",49
"157",153,70,"Claude","Cohen-Tannoudji","DZ","","male",1997,"physics","""for development of methods to cool and trap atoms with laser light""",64
"158",154,69,"William D.","Phillips","US","","male",1997,"physics","""for development of methods to cool and trap atoms with laser light""",49
"159",155,616,"Robert B.","Laughlin","US","","male",1998,"physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""",48
"160",156,614,"Horst L.","St_rmer","DE","","male",1998,"physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""",49
"161",157,615,"Daniel C.","Tsui","CN","","male",1998,"physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""",59
"162",158,76,"Gerardus","'t Hooft","NL","","male",1999,"physics","""for elucidating the quantum structure of electroweak interactions in physics""",53
"163",159,75,"Martinus J.G.","Veltman","NL","","male",1999,"physics","""for elucidating the quantum structure of electroweak interactions in physics""",68
"164",160,780,"Jacobus Henricus","van 't Hoff","NL","DE","male",1901,"chemistry","""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",49
"165",161,779,"Hermann Emil","Fischer","DE","DE","male",1902,"chemistry","""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",50
"166",162,782,"Svante August","Arrhenius","SE","SE","male",1903,"chemistry","""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",44
"167",163,764,"Sir William","Ramsay","GB","GB","male",1904,"chemistry","""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",52
"168",164,763,"Johann Friedrich Wilhelm Adolf","von Baeyer","DE","DE","male",1905,"chemistry","""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",70
"169",165,786,"Henri","Moissan","FR","FR","male",1906,"chemistry","""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",54
"170",166,114,"Eduard","Buchner","DE","RO","male",1907,"chemistry","""for his biochemical researches and his discovery of cell-free fermentation""",47
"171",167,232,"Ernest","Rutherford","NZ","GB","male",1908,"chemistry","""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",37
"172",168,770,"Wilhelm","Ostwald","LV","DE","male",1909,"chemistry","""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",56
"173",169,765,"Otto","Wallach","RU","DE","male",1910,"chemistry","""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",63
"174",172,427,"Victor","Grignard","FR","FR","male",1912,"chemistry","""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",41
"175",173,246,"Paul","Sabatier","FR","FR","male",1912,"chemistry","""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",58
"176",174,771,"Alfred","Werner","FR","CH","male",1913,"chemistry","""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",46
"177",175,758,"Theodore William","Richards","US","US","male",1914,"chemistry","""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",46
"178",176,277,"Richard Martin","Willst_tter","DE","CH","male",1915,"chemistry","""for his researches on plant pigments, especially chlorophyll""",43
"179",177,461,"Fritz","Haber","PL","CH","male",1918,"chemistry","""for the synthesis of ammonia from its elements""",49
"180",178,768,"Walther Hermann","Nernst","DE","DE","male",1920,"chemistry","""in recognition of his work in thermochemistry""",56
"181",179,128,"Frederick","Soddy","GB","GB","male",1921,"chemistry","""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",44
"182",180,208,"Francis William","Aston","GB","GB","male",1922,"chemistry","""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",45
"183",181,229,"Fritz","Pregl","SI","AT","male",1923,"chemistry","""for his invention of the method of micro-analysis of organic substances""",54
"184",182,139,"Richard Adolf","Zsigmondy","AT","DE","male",1925,"chemistry","""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",60
"185",183,301,"The (Theodor)","Svedberg","SE","SE","male",1926,"chemistry","""for his work on disperse systems""",42
"186",184,233,"Heinrich Otto","Wieland","DE","DE","male",1927,"chemistry","""for his investigations of the constitution of the bile acids and related substances""",50
"187",185,458,"Adolf Otto Reinhold","Windaus","DE","DE","male",1928,"chemistry","""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",51
"188",186,685,"Arthur","Harden","GB","GB","male",1929,"chemistry","""for their investigations on the fermentation of sugar and fermentative enzymes""",64
"189",187,686,"Hans Karl August Simon","von Euler-Chelpin","DE","SE","male",1929,"chemistry","""for their investigations on the fermentation of sugar and fermentative enzymes""",56
"190",188,276,"Hans","Fischer","DE","DE","male",1930,"chemistry","""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",49
"191",189,792,"Carl","Bosch","DE","DE","male",1931,"chemistry","""in recognition of their contributions to the invention and development of chemical high pressure methods""",57
"192",190,793,"Friedrich","Bergius","PL","AR","male",1931,"chemistry","""in recognition of their contributions to the invention and development of chemical high pressure methods""",47
"193",191,153,"Irving","Langmuir","US","US","male",1932,"chemistry","""for his discoveries and investigations in surface chemistry""",51
"194",192,174,"Harold Clayton","Urey","US","US","male",1934,"chemistry","""for his discovery of heavy hydrogen""",41
"195",193,794,"Fr_d_ric","Joliot","FR","FR","male",1935,"chemistry","""in recognition of their synthesis of new radioactive elements""",35
"196",194,36,"Irène","Joliot-Curie","FR","FR","female",1935,"chemistry","""in recognition of their synthesis of new radioactive elements""",38
"197",195,127,"Petrus (Peter) Josephus Wilhelmus","Debye","NL","US","male",1936,"chemistry","""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",52
